Particle age (days),source reef depth,percentage of particles past shelf break (200m)
0,10 - 20 m,0
1,10 - 20 m,0
2,10 - 20 m,0
3,10 - 20 m,0
4,10 - 20 m,0.196078431
5,10 - 20 m,1.879084967
6,10 - 20 m,2.908496732
7,10 - 20 m,4.068627451
8,10 - 20 m,6.14379085
9,10 - 20 m,8.316993464
10,10 - 20 m,10.47385621
11,10 - 20 m,13.43137255
12,10 - 20 m,16.81372549
13,10 - 20 m,19.93464052
14,10 - 20 m,22.79411765
15,10 - 20 m,25.57189542
16,10 - 20 m,27.56535948
17,10 - 20 m,29.33006536
18,10 - 20 m,31.02941176
19,10 - 20 m,32.87581699
20,10 - 20 m,33.97058824
21,10 - 20 m,35.17973856
22,10 - 20 m,36.58496732
23,10 - 20 m,37.5
24,10 - 20 m,38.43137255
25,10 - 20 m,39.33006536
26,10 - 20 m,40.06535948
27,10 - 20 m,40.83333333
28,10 - 20 m,41.97712418
29,10 - 20 m,42.89215686
30,10 - 20 m,43.66013072
31,10 - 20 m,44.24836601
32,10 - 20 m,44.73856209
33,10 - 20 m,45.08169935
34,10 - 20 m,45.45751634
35,10 - 20 m,45.88235294
36,10 - 20 m,46.20915033
37,10 - 20 m,46.53594771
38,10 - 20 m,46.79738562
39,10 - 20 m,47.0751634
40,10 - 20 m,47.27124183
41,10 - 20 m,47.38562092
42,10 - 20 m,47.59803922
43,10 - 20 m,47.82679739
44,10 - 20 m,47.94117647
45,10 - 20 m,48.05555556
46,10 - 20 m,48.12091503
47,10 - 20 m,48.21895425
48,10 - 20 m,48.3496732
49,10 - 20 m,48.41503268
50,10 - 20 m,48.46405229
51,10 - 20 m,48.61111111
52,10 - 20 m,48.7745098
53,10 - 20 m,48.85620915
54,10 - 20 m,49.01960784
55,10 - 20 m,49.03594771
56,10 - 20 m,49.11764706
57,10 - 20 m,49.11764706
58,10 - 20 m,49.1503268
59,10 - 20 m,49.23202614
0,50 m,0
1,50 m,4.705882353
2,50 m,30.02178649
3,50 m,43.09368192
4,50 m,50.98039216
5,50 m,56.51416122
6,50 m,60.21786492
7,50 m,62.65795207
8,50 m,65.16339869
9,50 m,67.79956427
10,50 m,70.06535948
11,50 m,71.80827887
12,50 m,73.4422658
13,50 m,74.44444444
14,50 m,75.59912854
15,50 m,76.2962963
16,50 m,77.08061002
17,50 m,77.93028322
18,50 m,79.01960784
19,50 m,79.62962963
20,50 m,80.32679739
21,50 m,80.95860566
22,50 m,81.35076253
23,50 m,81.87363834
24,50 m,82.33115468
25,50 m,82.96296296
26,50 m,83.28976035
27,50 m,83.59477124
28,50 m,83.9869281
29,50 m,84.50980392
30,50 m,84.72766885
31,50 m,84.94553377
32,50 m,85.25054466
33,50 m,85.4248366
34,50 m,85.59912854
35,50 m,85.72984749
36,50 m,86.0130719
37,50 m,86.07843137
38,50 m,86.20915033
39,50 m,86.38344227
40,50 m,86.47058824
41,50 m,86.5795207
42,50 m,86.75381264
43,50 m,86.88453159
44,50 m,86.94989107
45,50 m,87.1459695
46,50 m,87.32026144
47,50 m,87.51633987
48,50 m,87.53812636
49,50 m,87.64705882
50,50 m,87.7124183
51,50 m,87.77777778
52,50 m,87.90849673
53,50 m,87.93028322
54,50 m,87.95206972
55,50 m,88.01742919
56,50 m,88.03921569
57,50 m,88.06100218
58,50 m,88.12636166
59,50 m,88.16993464
60,50 m,88.19172113
